Epoch # 0:	train loss: 63.681	val loss: 4.735
Epoch # 1:	train loss: 3.902	val loss:  3.05
Epoch # 2:	train loss: 3.095	val loss: 2.705
Epoch # 3:	train loss: 2.785	val loss: 2.432
Epoch # 4:	train loss: 2.561	val loss: 2.475
Epoch # 5:	train loss: 2.362	val loss: 2.276
Epoch # 6:	train loss: 2.209	val loss: 2.244
Epoch # 7:	train loss: 2.102	val loss: 2.122
Epoch # 8:	train loss: 2.016	val loss: 2.259
Epoch # 9:	train loss: 1.938	val loss: 2.037
Epoch #10:	train loss: 1.871	val loss: 2.007
Epoch #11:	train loss: 1.807	val loss: 2.104
Epoch #12:	train loss: 1.751	val loss:  1.95
Epoch #13:	train loss: 1.704	val loss: 2.175
Epoch #14:	train loss: 1.653	val loss: 1.997
Epoch #15:	train loss: 1.606	val loss:  1.92
Epoch #16:	train loss: 1.562	val loss: 2.018
Epoch #17:	train loss: 1.511	val loss: 1.928
Epoch #18:	train loss:  1.46	val loss: 2.257
Epoch #19:	train loss: 1.411	val loss: 1.995
Epoch #20:	train loss: 1.359	val loss: 1.884
Epoch #21:	train loss: 1.303	val loss: 1.873
Epoch #22:	train loss: 1.257	val loss: 1.848
Epoch #23:	train loss: 1.226	val loss: 1.884
Epoch #24:	train loss: 1.188	val loss: 1.886
Epoch #25:	train loss: 1.153	val loss: 1.881
Epoch #26:	train loss:  1.12	val loss: 1.896
Epoch #27:	train loss:  1.09	val loss: 1.821
Epoch #28:	train loss: 1.064	val loss:  1.83
Epoch #29:	train loss:  1.04	val loss: 1.824
Epoch #30:	train loss: 1.018	val loss: 1.835
Epoch #31:	train loss: 0.997	val loss: 1.865
Epoch #32:	train loss: 0.976	val loss: 1.862
Epoch #33:	train loss: 0.957	val loss: 1.873
Epoch #34:	train loss: 0.941	val loss: 1.857
Epoch #35:	train loss: 0.924	val loss: 1.809
Epoch #36:	train loss: 0.907	val loss: 1.824
Epoch #37:	train loss: 0.891	val loss: 1.861
Epoch #38:	train loss: 0.876	val loss: 1.829
Epoch #39:	train loss: 0.861	val loss:  1.82
